15:13:04. INFO  manager.ApplicationManager - All tests starts in 'Chrome' browser
15:13:06. INFO  tests.TestBase - Test name ----->LoginPositiveTest2
15:13:06. INFO  manager.MyListener - Start search element by locator --->By.xpath: //a[contains(.,'Delete account')]
15:13:16. INFO  manager.MyListener - The element with locator --->By.xpath: //a[contains(.,'Delete account')]was found
15:13:16. INFO  manager.MyListener - Start search element by locator --->By.xpath: //a[@href='/login?url=%2Fsearch']
15:13:16. INFO  manager.MyListener - The element with locator --->By.xpath: //a[@href='/login?url=%2Fsearch']was found
15:13:16. INFO  manager.MyListener - Start search element by locator --->By.id: email
15:13:16. INFO  manager.MyListener - The element with locator --->By.id: emailwas found
15:13:16. INFO  manager.MyListener - Start search element by locator --->By.id: password
15:13:16. INFO  manager.MyListener - The element with locator --->By.id: passwordwas found
15:13:16. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[@type='submit']
15:13:16. INFO  manager.MyListener - The element with locator --->By.xpath: //button[@type='submit']was found
15:13:16. INFO  manager.MyListener - Start search element by locator --->By.xpath: //button[@type='submit']
15:13:16. INFO  manager.MyListener - The element with locator --->By.xpath: //button[@type='submit']was found
15:13:16. INFO  manager.MyListener - Start search element by locator --->By.xpath: //a[contains(.,'Delete account')]
15:13:17. INFO  manager.MyListener - The element with locator --->By.xpath: //a[contains(.,'Delete account')]was found
15:13:17. INFO  manager.MyListener - Start search element by locator --->By.xpath: //*[text()='Ok']
15:13:17. INFO  manager.MyListener - The element with locator --->By.xpath: //*[text()='Ok']was found
15:13:17. INFO  tests.TestBase - Test endLoginPositiveTest2
